CARPENTER,24.5681,24.621
WEAVER,24.6211,24.673
GREENE,24.6731,24.726
LAWRENCE,24.7261,24.779
ELLIOTT,24.7791,24.831
CHAVEZ,24.8311,24.883
SIMS,24.8831,24.936
AUSTIN,24.9361,24.988
PETERS,24.9881,25.04
KELLEY,25.0401,25.092
FRANKLIN,25.0921,25.143
LAWSON,25.1431,25.195
FIELDS,25.1951,25.246
GUTIERREZ,25.2461,25.297
RYAN,25.2971,25.348
SCHMIDT,25.3481,25.4
CARR,25.4001,25.451
VASQUEZ,25.4511,25.502
CASTILLO,25.5021,25.552
WHEELER,25.5521,25.603
CHAPMAN,25.6031,25.653
OLIVER,25.6531,25.703
MONTGOMERY,25.7031,25.753
RICHARDS,25.7531,25.802
WILLIAMSON,25.8021,25.851
JOHNSTON,25.8511,25.9
BANKS,25.9001,25.948
MEYER,25.9481,25.996
BISHOP,25.9961,26.045
MCCOY,26.0451,26.093
HOWELL,26.0931,26.14
ALVAREZ,26.1401,26.188
MORRISON,26.1881,26.235
HANSEN,26.2351,26.283
FERNANDEZ,26.2831,26.33
GARZA,26.3301,26.377
HARVEY,26.3771,26.424
LITTLE,26.4241,26.47
BURTON,26.4701,26.516
STANLEY,26.5161,26.562
NGUYEN,26.5621,26.608
GEORGE,26.6081,26.653
JACOBS,26.6531,26.699
REID,26.6991,26.745
KIM,26.7451,26.79
FULLER,26.7901,26.835
LYNCH,26.8351,26.88
DEAN,26.8801,26.925
GILBERT,26.9251,26.97
GARRETT,26.9701,27.015
ROMERO,27.0151,27.059
WELCH,27.0591,27.104
LARSON,27.1041,27.148
FRAZIER,27.1481,27.192
BURKE,27.1921,27.235
HANSON,27.2351,27.279
DAY,27.2791,27.322
MENDOZA,27.3221,27.365
MORENO,27.3651,27.407
BOWMAN,27.4071,27.45
MEDINA,27.4501,27.492
FOWLER,27.4921,27.535
BREWER,27.5351,27.577
HOFFMAN,27.5771,27.619
CARLSON,27.6191,27.661
SILVA,27.6611,27.703
PEARSON,27.7031,27.744
HOLLAND,27.7441,27.786
DOUGLAS,27.7861,27.827
FLEMING,27.8271,27.868
JENSEN,27.8681,27.909
VARGAS,27.9091,27.95
BYRD,27.9501,27.991
DAVIDSON,27.9911,28.032
HOPKINS,28.0321,28.072
MAY,28.0721,28.113
TERRY,28.1131,28.153
HERRERA,28.1531,28.193
WADE,28.1931,28.233
SOTO,28.2331,28.273
WALTERS,28.2731,28.313
CURTIS,28.3131,28.352
NEAL,28.3521,28.392
CALDWELL,28.3921,28.431
LOWE,28.4311,28.471
JENNINGS,28.4711,28.51
BARNETT,28.5101,28.549
GRAVES,28.5491,28.588
JIMENEZ,28.5881,28.628
HORTON,28.6281,28.667
SHELTON,28.6671,28.706
BARRETT,28.7061,28.745
OBRIEN,28.7451,28.783
CASTRO,28.7831,28.822
SUTTON,28.8221,28.86
GREGORY,28.8601,28.899
MCKINNEY,28.8991,28.937
LUCAS,28.9371,28.975
MILES,28.9751,29.013
CRAIG,29.0131,29.051
RODRIQUEZ,29.0511,29.088
CHAMBERS,29.0881,29.126
HOLT,29.1261,29.163
LAMBERT,29.1631,29.2
FLETCHER,29.2001,29.237
WATTS,29.2371,29.274
BATES,29.2741,29.311
HALE,29.3111,29.348
RHODES,29.3481,29.385
PENA,29.3851,29.421
BECK,29.4211,29.458
NEWMAN,29.4581,29.494
HAYNES,29.4941,29.531
MCDANIEL,29.5311,29.567
MENDEZ,29.5671,29.603
BUSH,29.6031,29.639
VAUGHN,29.6391,29.675
PARKS,29.6751,29.711
DAWSON,29.7111,29.746
SANTIAGO,29.7461,29.781
NORRIS,29.7811,29.817
HARDY,29.8171,29.852
LOVE,29.8521,29.887
STEELE,29.8871,29.921
CURRY,29.9211,29.956
POWERS,29.9561,29.991
SCHULTZ,29.9911,30.025
BARKER,30.0251,30.06
GUZMAN,30.0601,30.094
PAGE,30.0941,30.129
MUNOZ,30.1291,30.163
BALL,30.1631,30.197
KELLER,30.1971,30.231
CHANDLER,30.2311,30.265
WEBER,30.2651,30.299
LEONARD,30.2991,30.333
WALSH,30.3331,30.366
LYONS,30.3661,30.4
RAMSEY,30.4001,30.433
WOLFE,30.4331,30.466
SCHNEIDER,30.4661,30.499
